site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
San Salvador,402,2016,9.1,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,526,2016,9.2,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3330,2016,9.3,25,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,403,2016,9.31,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,403,2016,9.31,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,233,2016,9.43,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,407,2016,9.45,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,429,2016,9.54,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,404,2016,9.65,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,404,2016,9.65,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,426,2016,9.72,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,432,2016,9.79,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,432,2016,9.79,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
Andros,3336,2016,9.8,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,452,2016,10,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,452,2016,10,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
San Salvador,425,2016,10.07,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,425,2016,10.07,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,459,2016,10.3,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,532,2016,10.3,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,459,2016,10.3,25,1,Carcharhinidae,Negaprion,brevirostris,Lemon shark
San Salvador,431,2016,10.6,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,431,2016,10.6,25,1,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
Andros,494,2016,10.7,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3304,2016,10.7,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,523,2016,10.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,494,2016,10.7,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,523,2016,10.7,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
